# The 1,316 of the catalogue's 1,535 species that are present in the
# Kraken 2 index used for the coverage-matched comparison. The other 219
# are GCF accessions whose FASTAs were not available locally when the
# index was built, so reads from them cannot be classified and are
# excluded from read-accuracy comparisons against Kraken 2.
#
# Keyed by species_name, which is pool-independent: the same list masks
# either 100K pool. species_class here is the catalogue index and is NOT
# the same numbering as a pool's species_class column -- join on the name.
species_name	species_class	genus_name
11861_6_55	0	Clostridium
11861_6_58	1	Blautia
11861_6_61	2	Alistipes
11861_6_63	3	Alistipes
12718_7_10	4	Clostridium
12718_7_13	5	Staphylococcus
12718_7_14	6	Lactobacillus
12718_7_15	7	Lactobacillus
12718_7_17	8	Lactobacillus
12718_7_23	9	Staphylococcus
12718_7_24	10	Bacillus
12718_7_29	11	Bacteroides
12718_7_3	12	Enterobacter
12718_7_37	13	Butyricimonas
12718_7_39	14	Clostridium
12718_7_49	15	Enterobacter
12718_7_50	16	Enterobacter
12718_7_51	17	Ruminococcus
12718_7_56	18	Lactobacillus
12718_7_59	19	Lactobacillus
12718_7_7	20	Enterobacter
12718_7_70	21	Streptococcus
12718_7_87	22	Streptococcus
12718_7_9	23	Clostridium
12718_7_92	24	Clostridium
13154_4_43	25	Staphylococcus
13414_6_12	26	Selenomonas
13414_6_17	27	Ruminococcus
13414_6_20	28	Blautia
13414_6_24	29	Bacteroides
13414_6_32	30	Blautia
13414_6_34	31	Clostridium
13414_6_41	32	Blautia
13414_6_44	33	Lachnobacterium
13414_6_47	34	Lachnobacterium
13414_6_50	35	Dorea
13414_6_53	36	Faecalibacterium
13414_6_66	37	Blautia
13414_6_73	38	Clostridium
13470_2_62	39	Bacteroides
13470_2_64	40	Bacteroides
13470_2_65	41	Bacteroides
13470_2_67	42	Parabacteroides
13470_2_73	43	Megasphaera
13470_2_75	44	Clostridium
13470_2_77	45	Clostridium
13470_2_78	46	Clostridium
13470_2_81	47	Blautia
14207_6_12	48	Alistipes
14207_6_13	49	Bacteroides
14207_6_9	50	Bacteroides
14207_7_1	51	Lachnospira
14207_7_23	52	Bacteroides
14207_7_27	53	Clostridium
14207_7_30	54	Clostridium
14207_7_37	55	Dorea
14207_7_57	56	Ruminococcus
14207_7_70	57	Alistipes
14207_7_75	58	Clostridium
14207_7_83	59	Roseburia
14207_7_9	60	Lachnospira
14670_1_61	61	Enterococcus
14672_4_4	62	Exiguobacterium
15841_8_64	63	Clostridium
15841_8_88	64	Corynebacterium
17138_5_74	65	Acinetobacter
17138_5_75	66	Bacillus
18048_1_72	67	Blautia
18048_1_93	68	Bifidobacterium
18048_2_67	69	Blautia
18048_2_85	70	Clostridium
18048_2_90	71	Odoribacter
18391_1_11	72	Streptococcus
18391_1_7	73	Bifidobacterium
20287_6_22	74	Ruminococcus
20287_6_33	75	Ruminococcus
20287_6_4	76	Achromobacter
20287_6_53	77	Bacteroides
20287_6_6	78	Klebsiella
20287_6_9	79	Bacteroides
20298_2_1	80	Lactobacillus
20298_2_10	81	Streptococcus
20298_2_19	82	Leuconostoc
20298_2_23	83	Bacteroides
20298_2_29	84	Propionimicrobium
20298_2_33	85	Enterococcus
20298_2_47	86	Clostridium
20298_2_49	87	Streptococcus
20298_2_5	88	Clostridium
20298_2_53	89	Lactobacillus
20298_2_67	90	Klebsiella
20298_2_7	91	Bacteroides
20298_3_1	92	Propionibacterium
20298_3_11	93	Enterococcus
20298_3_12	94	Enterococcus
20298_3_13	95	Klebsiella
20298_3_17	96	Citrobacter
20298_3_18	97	Streptococcus
20298_3_2	98	Bifidobacterium
20298_3_21	99	Actinomyces
20298_3_24	100	Streptococcus
20298_3_25	101	Streptococcus
20298_3_26	102	Clostridium
20298_3_28	103	Exiguobacterium
20298_3_3	104	Staphylococcus
20298_3_35	105	Blautia
20298_3_36	106	Peptoniphilus
20298_3_37	107	Klebsiella
20298_3_4	108	Citrobacter
20298_3_48	109	Blautia
20298_3_52	110	Clostridium
20298_3_62	111	Clostridium
20298_3_63	112	Alistipes
20298_3_66	113	Peptoniphilus
20298_3_81	114	Blautia
20427_4_22	115	Lactobacillus
20427_4_25	116	Lachnobacterium
21673_4_19	117	Blautia
21673_4_22	118	Ruminococcus
21673_4_33	119	Parabacteroides
21673_4_38	120	Blautia
21673_4_43	121	Enterococcus
21673_4_46	122	Bacteroides
21673_4_5	123	Barnesiella
21673_4_53	124	Blautia
21673_4_71	125	Clostridium
21673_4_77	126	Clostridium
21673_4_80	127	Clostridium
21673_4_87	128	Dorea
21673_4_91	129	Bacillus
8080_1_72	130	Blautia
8080_1_73	131	Clostridium
8080_1_77	132	Clostridium
8080_1_78	133	Clostridium
8080_1_80	134	Solobacterium
8080_1_81	135	Clostridium
8080_1_83	136	Clostridium
UMGS1	356	Solobacterium
UMGS1003	357	Prevotella
UMGS1005	358	Parabacteroides
UMGS1006	359	Clostridium
UMGS1007	360	Prevotella
UMGS1009	361	Collinsella
UMGS101	362	Clostridium
UMGS1010	363	Blautia
UMGS1013	364	Collinsella
UMGS1015	365	Clostridium
UMGS1016	366	Lachnobacterium
UMGS1017	367	Solobacterium
UMGS1019	368	Dialister
UMGS1022	369	Collinsella
UMGS1023	370	Collinsella
UMGS1026	371	Collinsella
UMGS1027	372	Clostridium
UMGS1028	373	Solobacterium
UMGS1029	374	Solobacterium
UMGS1030	375	Collinsella
UMGS1031	376	Collinsella
UMGS1036	377	Prevotella
UMGS1038	378	Massiliomicrobiota
UMGS104	379	Collinsella
UMGS1046	380	Eggerthella
UMGS1047	381	Collinsella
UMGS1049	382	Odoribacter
UMGS1051	383	Dialister
UMGS1053	384	Roseburia
UMGS1055	385	Anaerotruncus
UMGS1059	386	Coprococcus
UMGS1061	387	Blautia
UMGS1063	388	Prevotella
UMGS1064	389	Parabacteroides
UMGS1065	390	Alistipes
UMGS1066	391	Roseburia
UMGS1067	392	Coprococcus
UMGS1068	393	Fusobacterium
UMGS107	394	Porphyromonas
