genus_class,genus_name,n_species_in_catalogue
0,Achromobacter,1
1,Acidaminococcus,7
2,Acinetobacter,4
3,Actinomyces,18
4,Adlercreutzia,1
5,Aeromonas,1
6,Akkermansia,4
7,Alistipes,38
8,Anaerococcus,9
9,Anaerofustis,1
10,Anaeromassilibacillus,3
11,Anaerosporobacter,1
12,Anaerostipes,1
13,Anaerotignum,1
14,Anaerotruncus,4
15,Atopobium,3
16,Azospirillum,6
17,Bacillus,11
18,Bacteroides,79
19,Barnesiella,3
20,Bifidobacterium,14
21,Blastococcus,1
22,Blautia,46
23,Brachyspira,1
24,Brevibacterium,1
25,Butyricicoccus,7
26,Butyricimonas,6
27,Butyrivibrio,3
28,Campylobacter,5
29,Catenibacterium,3
30,Cellulomonas,1
31,Citrobacter,3
32,Cloacibacillus,2
33,Clostridium,191
34,Collinsella,349
35,Coprobacillus,1
36,Coprococcus,6
37,Corynebacterium,9
38,Cryptobacterium,2
39,Desulfovibrio,18
40,Dialister,17
41,Dorea,7
42,Dysgonomonas,4
43,Edwardsiella,2
44,Eggerthella,20
45,Enterobacter,6
46,Enterococcus,9
47,Eubacterium,29
48,Exiguobacterium,2
49,Faecalibacterium,13
50,Finegoldia,3
51,Flavobacterium,1
52,Franconibacter,1
53,Fusobacterium,26
54,Garciella,1
55,Gemella,1
56,Gemmiger,1
57,Granulicatella,3
58,Halomonas,1
59,Helicobacter,9
60,Klebsiella,6
61,Lachnobacterium,13
62,Lachnoclostridium,1
63,Lachnospira,6
64,Lactobacillus,25
65,Leuconostoc,3
66,Listeria,1
67,Marvinbryantia,1
68,Massiliomicrobiota,1
69,Megamonas,3
70,Megasphaera,13
71,Morganella,1
72,Negativicoccus,1
73,Neisseria,1
74,Nesterenkonia,1
75,Odoribacter,7
76,Olsenella,9
77,Oribacterium,1
78,Oscillibacter,15
79,Oxalobacter,2
80,Paenibacillus,2
81,Pantoea,4
82,Parabacteroides,16
83,Paraprevotella,4
84,Pediococcus,1
85,Pelosinus,2
86,Peptoniphilus,9
87,Peptostreptococcus,1
88,Phascolarctobacterium,16
89,Phyllobacterium,1
90,Porphyromonas,12
91,Prevotella,91
92,Propionibacterium,2
93,Propionimicrobium,1
94,Proteus,1
95,Providencia,5
96,Pseudobutyrivibrio,2
97,Pseudomonas,4
98,Ralstonia,1
99,Robinsoniella,4
100,Roseburia,15
101,Rothia,1
102,Ruminococcus,64
103,Sanguibacteroides,1
104,Selenomonas,5
105,Slackia,6
106,Sneathia,1
107,Solobacterium,36
108,Sporolactobacillus,1
109,Staphylococcus,5
110,Streptococcus,21
111,Streptomyces,1
112,Subdoligranulum,3
113,Succinatimonas,3
114,Succiniclasticum,4
115,Sutterella,28
116,Treponema,4
117,Veillonella,22
118,Weissella,1
119,Xylanibacter,2
