genus_class,genus_name
-1,class_0
1,Acetobacter
2,Acetobacterium
3,Acholeplasma
4,Achromobacter
5,Acidiphilium
6,Acidithiobacillus
7,Acidobacterium
8,Acidovorax
9,Acinetobacter
10,Actinoplanes
11,Advenella
12,Agrobacterium
13,Alicycliphilus
14,Amphibacillus
15,Amycolatopsis
16,Anabaena
17,Anaeromyxobacter
18,Arcobacter
19,Aromatoleum
20,Arthrobacter
21,Asticcacaulis
22,Azoarcus
23,Azospira
24,Azospirillum
25,Azotobacter
26,Bacillus
27,Bacteroides
28,Bdellovibrio
29,Beijerinckia
30,Beutenbergia
31,Blastococcus
32,Bordetella
33,Borrelia
34,Brachyspira
35,Bradyrhizobium
36,Brevibacillus
37,Brucella
38,Burkholderia
39,Campylobacter
40,Candidatus_40
41,Candidatus_41
42,Candidatus_42
43,Candidatus_43
44,Candidatus_44
45,Capnocytophaga
46,Catenulispora
47,Caulobacter
48,Cellulomonas
49,Cellulophaga
50,Cellvibrio
51,Chania
52,Chelativorans
53,Chitinophaga
54,Chlamydia
55,Chlamydophila
56,Chloracidobacterium
57,Chlorobium
58,Chromobacterium
59,Chromohalobacter
60,Chroococcidiopsis
61,Chthonomonas
62,Citrobacter
63,Clavibacter
64,Clostridium
65,Collimonas
66,Comamonas
67,Corallococcus
68,Corynebacterium
69,Coxiella
70,Cupriavidus
71,Cyanobacterium
72,Cyanothece
73,Cylindrospermum
74,Cytophaga
75,Dactylococcopsis
77,Dechloromonas
78,Dehalobacter
79,Dehalococcoides
80,Dehalogenimonas
81,Deinococcus
82,Delftia
83,Denitrovibrio
84,Desulfarculus
85,Desulfitobacterium
86,Desulfobulbus
87,Desulfococcus
88,Desulfomicrobium
89,Desulfosporosinus
90,Desulfotomaculum
91,Desulfovibrio
92,Desulfurococcus
93,Dickeya
94,Dyella
95,Ehrlichia
96,Ensifer
97,Enterobacter
98,Enterococcus
99,Erwinia
100,Erysipelothrix
101,Escherichia
102,Eubacterium
103,Exiguobacterium
104,Ferroplasma
105,Fervidobacterium
107,Fimbriimonas
108,Flavobacterium
109,Francisella
110,Frankia
111,Gallibacterium
112,Gallionella
113,Geitlerinema
114,Gemmatimonas
115,Geobacillus
116,Geobacter
117,Gloeobacter
118,Gloeocapsa
119,Gluconacetobacter
120,Gordonia
121,Gottschalkia
122,Granulibacter
123,Granulicella
124,Haemophilus
125,Halanaerobium
126,Halobacillus
127,Halobacteriovorax
128,Haloferax
129,Halomicrobium
130,Halomonas
131,Halorhodospira
132,Haloterrigena
133,Heliobacterium
134,Hydrogenobacter
135,Hymenobacter
136,Hyphomicrobium
137,Ilumatobacter
138,Ilyobacter
139,Janthinobacterium
140,Ketogulonicigenium
141,Kineococcus
142,Kitasatospora
143,Klebsiella
145,Kocuria
146,Kribbella
147,Kutzneria
149,Lachnoclostridium
150,Lactobacillus
151,Leadbetterella
152,Legionella
153,Leptolyngbya
154,Leptospira
155,Leptospirillum
156,Leptothrix
157,Leuconostoc
158,Listeria
159,Mahella
160,Marinobacter
161,Marinomonas
162,Mesorhizobium
163,Methanobacterium
164,Methanobrevibacter
165,Methanocella
166,Methanococcus
167,Methanohalophilus
168,Methanolacinia
169,Methanolobus
170,Methanoregula
171,Methanosalsum
172,Methanosarcina
173,Methanosphaera
174,Methanosphaerula
175,Methanothermus
176,Methylacidiphilum
177,Methylibium
178,Methylobacillus
179,Methylobacterium
180,Methylocella
181,Methylocystis
182,Methylovorus
183,Micavibrio
184,Micrococcus
185,Microcoleus
186,Microlunatus
187,Micromonospora
188,Modestobacter
189,Moorella
190,Morganella
192,Mycobacterium
193,Mycoplasma
194,Myxococcus
196,Neisseria
197,Neorhizobium
198,Neorickettsia
199,Niastella
200,Nitrobacter
201,Nitrosomonas
202,Nitrosospira
203,Nocardia
204,Nocardioides
205,Nocardiopsis
206,Nostoc
207,Novosphingobium
208,Oceanobacillus
209,Ochrobactrum
210,Oligotropha
211,Opitutus
212,Oscillatoria
213,Paenarthrobacter
214,Paenibacillus
215,Paludibacter
216,Pandoraea
217,Pantoea
218,Paracoccus
219,Pararhodospirillum
220,Pectobacterium
221,Pedobacter
222,Pelobacter
223,Pelodictyon
224,Pelosinus
225,Peptoclostridium
226,Picrophilus
227,Pleurocapsa
228,Polaromonas
229,Propionibacterium
230,Proteus
231,Providencia
232,Pseudanabaena
233,Pseudarthrobacter
234,Pseudogulbenkiania
235,Pseudomonas
236,Pseudonocardia
237,Pseudopedobacter
238,Pseudothermotoga
239,Pseudoxanthomonas
240,Psychrobacter
241,Pyrococcus
242,Rahnella
243,Ralstonia
244,Ramlibacter
245,Raoultella
246,Renibacterium
247,Rhizobium
248,Rhodanobacter
249,Rhodobacter
250,Rhodococcus
251,Rhodopseudomonas
252,Rickettsia
253,Riemerella
254,Rivularia
255,Rubrobacter
256,Ruminiclostridium
257,Ruminococcus
258,Saccharomonospora
259,Saccharopolyspora
260,Saccharothrix
261,Salinispora
262,Salmonella
263,Serratia
264,Shewanella
265,Shigella
266,Singulisphaera
267,Sinorhizobium
268,Solibacillus
269,Solitalea
270,Sorangium
271,Sphingobium
272,Sphingomonas
273,Spirochaeta
274,Stackebrandtia
275,Stanieria
276,Staphylococcus
277,Starkeya
278,Stenotrophomonas
279,Stigmatella
280,Streptococcus
281,Streptomyces
282,Streptosporangium
283,Sulfolobus
284,Sulfurihydrogenibium
285,Sulfurospirillum
286,Symbiobacterium
287,Synechococcus
288,Terriglobus
289,Thauera
290,Thermaerobacter
291,Thermoanaerobacter
292,Thermobacillus
293,Thermobaculum
294,Thermobifida
295,Thermococcus
296,Thermomonospora
297,Thermoplasma
298,Thermoproteus
299,Thermovirga
300,Thiobacillus
301,Thiomonas
302,Treponema
303,Tropheryma
304,Tsukamurella
305,Variovorax
306,Verminephrobacter
307,Vulcanisaeta
308,Xanthobacter
309,Xanthomonas
310,Xenorhabdus
311,Xylanimonas
312,Xylella
313,Yersinia
314,Zymomonas
