Achromobacter	GCF_000165835.1_ASM16583v1
Acidaminococcus	GCF_000025305.1_ASM2530v1
Acinetobacter	GCF_000018445.1_ASM1844v1
Actinomyces	GCF_001278845.1_ASM127884v1
Adlercreutzia	GCF_000478885.1_ASM47888v1
Aeromonas	GCF_010906985.2_ASM1090698v2
Akkermansia	GCF_000020225.1_ASM2022v1
Alistipes	GCF_000265365.1_ASM26536v1
Anaerococcus	GCF_000024105.1_ASM2410v1
Anaerofustis	GCF_046603965.1_ASM4660396v1
Anaeromassilibacillus	GCF_001261775.1_Anaeromassilibacillus_senegalense
Anaerosporobacter	GCF_032012565.1_ASM3201256v1
Anaerostipes	GCF_001998765.1_ASM199876v1
Anaerotignum	GCF_001561955.1_ASM156195v1
Anaerotruncus	GCF_023008305.1_ASM2300830v1
Atopobium	GCF_018128285.1_ASM1812828v1
Azospirillum	GCF_000010725.1_ASM1072v1
Bacteroides	GCF_000009925.1_ASM992v1
Barnesiella	GCF_000512915.1_ASM51291v1
Bifidobacterium	GCF_000210755.1_ASM21075v1
Blastococcus	GCF_000284015.1_ASM28401v1
Blautia	GCF_001689125.2_ASM168912v2
Brachyspira	GCF_000022105.1_ASM2210v1
Brevibacterium	GCF_001606005.1_ASM160600v1
Butyricicoccus	GCF_051246315.1_ASM5124631v1
Butyricimonas	GCF_003991565.1_ASM399156v1
Butyrivibrio	GCF_000145035.1_ASM14503v1
Campylobacter	GCF_000009085.1_ASM908v1
Catenibacterium	GCF_025148785.1_ASM2514878v1
Cellulomonas	GCF_000312005.1_ASM31200v1
Citrobacter	GCF_002215605.1_ASM221560v1
Cloacibacillus	GCF_001701045.1_ASM170104v1
Clostridium	GCF_000007625.1_ASM762v1
Collinsella	GCF_002736145.1_ASM273614v1
Coprobacillus	GCF_055397375.1_ASM5539737v1
Coprococcus	GCF_020735705.1_ASM2073570v1
Corynebacterium	GCF_000143825.1_ASM14382v1
Cryptobacterium	GCF_000023845.1_ASM2384v1
Desulfovibrio	GCF_001553605.1_ASM155360v1
Dialister	GCF_001717505.1_ASM171750v1
Dorea	GCF_023008345.1_ASM2300834v1
Dysgonomonas	GCF_011299335.1_ASM1129933v1
Edwardsiella	GCF_000020865.1_ASM2086v1
Eggerthella	GCF_000024265.1_ASM2426v1
Enterobacter	GCF_000016325.1_ASM1632v1
Enterococcus	GCF_000007785.1_ASM778v1
Eubacterium	GCF_000152245.2_ASM15224v2
Exiguobacterium	GCF_000019905.1_ASM1990v1
Faecalibacterium	GCF_002586945.1_ASM258694v1
Finegoldia	GCF_000010185.1_ASM1018v1
Flavobacterium	GCF_000016645.1_ASM1664v1
Franconibacter	GCF_036830455.1_ASM3683045v1
Fusobacterium	GCF_000158275.2_ASM15827v2
Garciella	GCF_003315355.1_ASM331535v1
Gemella	GCF_001553915.1_ASM155391v1
Gemmiger	GCF_018784445.1_ASM1878444v1
Granulicatella	GCF_019931005.1_ASM1993100v1
Halomonas	GCF_000196875.2_ASM19687v2
Helicobacter	GCF_000007905.1_ASM790v1
Klebsiella	GCF_001316945.3_ASM131694v3
Lachnobacterium	GCF_000622065.1_ASM62206v1
Lachnoclostridium	GCF_000018685.1_ASM1868v1
Lachnospira	GCF_000146185.1_ASM14618v1
Lactobacillus	GCF_000008065.1_ASM806v1
Leuconostoc	GCF_000014445.1_ASM1444v1
Listeria	GCF_000008285.1_ASM828v1
Marvinbryantia	GCF_025148285.1_ASM2514828v1
Massiliomicrobiota	GCF_042850985.1_ASM4285098v1
Megamonas	GCF_010669225.1_ASM1066922v1
Megasphaera	GCF_001304715.1_ASM130471v1
Morganella	GCF_000286435.2_ASM28643v2
Negativicoccus	GCF_000508525.1_NS_DORA_17_25_velvet_1.1
Neisseria	GCF_000006845.1_ASM684v1
Nesterenkonia	GCF_007922635.1_ASM792263v1
Odoribacter	GCF_000190535.1_ASM19053v1
Olsenella	GCF_000143845.1_ASM14384v1
Oribacterium	GCF_000160135.1_ASM16013v1
Oscillibacter	GCF_003574015.1_ASM357401v1
Oxalobacter	GCF_002127965.1_ASM212796v1
Paenibacillus	GCF_000785455.1_ASM78545v1
Pantoea	GCF_000025405.2_ASM2540v1
Parabacteroides	GCF_000012845.1_ASM1284v1
Paraprevotella	GCF_027923645.1_ASM2792364v1
Pediococcus	GCF_000014505.1_ASM1450v1
Pelosinus	GCF_000271665.2_ASM27166v2
Peptoniphilus	GCF_016726485.1_ASM1672648v1
Peptostreptococcus	GCF_027125355.1_ASM2712535v1
Phascolarctobacterium	GCF_003945365.1_PFJ30894_01
Phyllobacterium	GCF_002764115.1_ASM276411v1
Porphyromonas	GCF_000007585.1_ASM758v1
Prevotella	GCF_000144405.1_ASM14440v1
Propionibacterium	GCF_000091725.1_ASM9172v1
Propionimicrobium	GCF_030286045.1_ASM3028604v1
Proteus	GCF_000069965.1_ASM6996v1
Providencia	GCF_000259175.1_ASM25917v1
Pseudobutyrivibrio	GCF_008935055.1_ASM893505v1
Pseudomonas	GCF_000148745.1_ASM14874v1
Ralstonia	GCF_000348545.1_ASM34854v1
Robinsoniella	GCF_005519995.1_ASM551999v1
Roseburia	GCF_000225345.1_ASM22534v1
Rothia	GCF_000011025.1_ASM1102v1
Ruminococcus	GCF_000723465.1_Rb803
Sanguibacteroides	GCF_027666085.1_ASM2766608v1
