model	ani_bin	bin_order	n_genera	macro_read_acc
L29	<80	0	27	0.24539972768429746
L29	80-85	1	12	0.28177554621458545
L29	85-90	2	15	0.4171565304165471
L29	90-93	3	9	0.41437433155080217
L29	93-95	4	10	0.5479984478447845
L29	95-97	5	16	0.5373158480591457
L29	97-99	6	37	0.43412559345832696
kraken2	<80	0	27	0.06578947303738422
kraken2	80-85	1	12	0.19432656262725115
kraken2	85-90	2	15	0.3662767431196902
kraken2	90-93	3	9	0.6069716650496583
kraken2	93-95	4	10	0.6260600480048005
kraken2	95-97	5	16	0.7287829360171911
kraken2	97-99	6	37	0.7927745050110119
mt_250M	<80	0	27	0.12131486371970977
mt_250M	80-85	1	12	0.2264958300166752
mt_250M	85-90	2	15	0.38750514573906364
mt_250M	90-93	3	9	0.5437511112855984
mt_250M	93-95	4	10	0.7032028582858285
mt_250M	95-97	5	16	0.7574510087638415
mt_250M	97-99	6	37	0.7875122101078087
mt_50M	<80	0	27	0.12590912656024839
mt_50M	80-85	1	12	0.1887779273310484
mt_50M	85-90	2	15	0.3242624363324688
mt_50M	90-93	3	9	0.40673960482883026
mt_50M	93-95	4	10	0.64610698669867
mt_50M	95-97	5	16	0.6255846817072164
mt_50M	97-99	6	37	0.6075624445522649
mt_6mer	<80	0	27	0.14067418798835998
mt_6mer	80-85	1	12	0.12808894070929702
mt_6mer	85-90	2	15	0.21588026367582736
mt_6mer	90-93	3	9	0.16475431122944229
mt_6mer	93-95	4	10	0.34074631463146315
mt_6mer	95-97	5	16	0.2676771199126215
mt_6mer	97-99	6	37	0.19975621536181068
nb_13mer	<80	0	27	0.15539183218524216
nb_13mer	80-85	1	12	0.19485681371289407
nb_13mer	85-90	2	15	0.2983944014290202
nb_13mer	90-93	3	9	0.40511967037420793
nb_13mer	93-95	4	10	0.6252730363342484
nb_13mer	95-97	5	16	0.5717140537871794
nb_13mer	97-99	6	37	0.5202116999744792
nb_6mer	<80	0	27	0.1219251620276396
nb_6mer	80-85	1	12	0.17355252281561986
nb_6mer	85-90	2	15	0.22818082096928563
nb_6mer	90-93	3	9	0.24395735793292855
nb_6mer	93-95	4	10	0.35083926381909325
nb_6mer	95-97	5	16	0.2942472062250243
nb_6mer	97-99	6	37	0.23287290124713791
nt_v9	<80	0	27	0.2311102808208881
nt_v9	80-85	1	12	0.2566790380953861
nt_v9	85-90	2	15	0.37252643989729106
nt_v9	90-93	3	9	0.36325140959874297
nt_v9	93-95	4	10	0.5033769576957695
nt_v9	95-97	5	16	0.49443500260965473
nt_v9	97-99	6	37	0.38666901848096624
