level	model	genus	n_reads	read_acc	n_training_species_in_genus	mean_max_ani
L1_strain	mt_250M	Achromobacter	5000	0.7716	1	98.47000000000003
L1_strain	mt_250M	Acidaminococcus	5000	0.7398	7	97.40999999999998
L1_strain	mt_250M	Adlercreutzia	5000	0.5554	1	96.07
L1_strain	mt_250M	Alistipes	9999	0.85998599859986	38	98.41
L1_strain	mt_250M	Anaeromassilibacillus	10000	0.7585	3	98.795
L1_strain	mt_250M	Anaerosporobacter	5000	0.4664	1	95.15999999999998
L1_strain	mt_250M	Bacillus	5000	0.7418	11	97.39999999999999
L1_strain	mt_250M	Bacteroides	9996	0.850640256102441	79	97.11833333333334
L1_strain	mt_250M	Barnesiella	10000	0.8191	3	98.75
L1_strain	mt_250M	Bifidobacterium	5000	0.6868	14	95.04999999999998
L1_strain	mt_250M	Blautia	10000	0.7491	46	98.34
L1_strain	mt_250M	Butyricicoccus	5000	0.6908	7	97.99
L1_strain	mt_250M	Butyricimonas	5000	0.8424	6	98.73
L1_strain	mt_250M	Catenibacterium	5000	0.7368	3	96.84000000000002
L1_strain	mt_250M	Citrobacter	5000	0.8176	3	97.14999999999999
L1_strain	mt_250M	Collinsella	5000	0.9906	349	95.02
L1_strain	mt_250M	Desulfovibrio	10000	0.7665	18	96.38500000000002
L1_strain	mt_250M	Dialister	5000	0.8578	17	96.91999999999997
L1_strain	mt_250M	Dorea	9999	0.6915691569156915	7	98.21333333333334
L1_strain	mt_250M	Eggerthella	5000	0.8338	20	98.86
L1_strain	mt_250M	Enterobacter	10000	0.8989	6	98.865
L1_strain	mt_250M	Enterococcus	10000	0.7783	9	97.4575
L1_strain	mt_250M	Eubacterium	5000	0.7798	29	98.93
L1_strain	mt_250M	Faecalibacterium	10000	0.7791	13	97.218
L1_strain	mt_250M	Finegoldia	5000	0.6074	3	97.60000000000001
L1_strain	mt_250M	Franconibacter	5000	0.6152	1	98.98
L1_strain	mt_250M	Fusobacterium	10000	0.8709	26	97.47
L1_strain	mt_250M	Klebsiella	10000	0.846	6	97.29
L1_strain	mt_250M	Lachnospira	5000	0.7224	6	95.58000000000003
L1_strain	mt_250M	Lactobacillus	5000	0.8132	25	98.44
L1_strain	mt_250M	Leuconostoc	10000	0.7368	3	97.65499999999997
L1_strain	mt_250M	Listeria	5000	0.878	1	98.75
L1_strain	mt_250M	Massiliomicrobiota	9999	0.6973697369736974	1	98.30333333333334
L1_strain	mt_250M	Megasphaera	10000	0.8343	13	97.7375
L1_strain	mt_250M	Negativicoccus	5000	0.6806	1	97.59000000000002
L1_strain	mt_250M	Odoribacter	5000	0.7364	7	98.44
L1_strain	mt_250M	Pantoea	5000	0.559	4	98.89
L1_strain	mt_250M	Parabacteroides	10000	0.7269	16	97.816
L1_strain	mt_250M	Paraprevotella	10000	0.8213	4	98.30000000000003
L1_strain	mt_250M	Pediococcus	5000	0.753	1	97.34000000000002
L1_strain	mt_250M	Peptoniphilus	10000	0.8141	9	96.60499999999998
L1_strain	mt_250M	Phascolarctobacterium	5000	0.8408	16	98.88
L1_strain	mt_250M	Phyllobacterium	5000	0.657	1	96.99
L1_strain	mt_250M	Porphyromonas	5000	0.6678	12	97.33000000000003
L1_strain	mt_250M	Proteus	5000	0.836	1	98.97000000000003
L1_strain	mt_250M	Providencia	5000	0.8796	5	98.65999999999998
L1_strain	mt_250M	Ralstonia	5000	0.6152	1	95.71000000000001
L1_strain	mt_250M	Roseburia	10000	0.7566	15	98.705
L1_strain	mt_250M	Ruminococcus	5000	0.8178	64	97.88
L1_strain	mt_250M	Sneathia	5000	0.7906	1	98.63
L1_strain	mt_250M	Sutterella	5000	0.863	28	98.14
L1_strain	mt_250M	Veillonella	9999	0.8744874487448745	22	95.92
L1_strain	mt_250M	Weissella	5000	0.7208	1	97.49
L1_strain	mt_50M	Achromobacter	5000	0.3646	1	98.47000000000003
L1_strain	mt_50M	Acidaminococcus	5000	0.6908	7	97.40999999999998
L1_strain	mt_50M	Adlercreutzia	5000	0.3936	1	96.07
L1_strain	mt_50M	Alistipes	9999	0.7868786878687869	38	98.41
L1_strain	mt_50M	Anaeromassilibacillus	10000	0.511	3	98.795
L1_strain	mt_50M	Anaerosporobacter	5000	0.2222	1	95.15999999999998
L1_strain	mt_50M	Bacillus	5000	0.3322	11	97.39999999999999
L1_strain	mt_50M	Bacteroides	9996	0.7127851140456183	79	97.11833333333334
L1_strain	mt_50M	Barnesiella	10000	0.6734	3	98.75
L1_strain	mt_50M	Bifidobacterium	5000	0.6128	14	95.04999999999998
L1_strain	mt_50M	Blautia	10000	0.5922	46	98.34
L1_strain	mt_50M	Butyricicoccus	5000	0.5786	7	97.99
L1_strain	mt_50M	Butyricimonas	5000	0.6548	6	98.73
L1_strain	mt_50M	Catenibacterium	5000	0.7252	3	96.84000000000002
L1_strain	mt_50M	Citrobacter	5000	0.5614	3	97.14999999999999
L1_strain	mt_50M	Collinsella	5000	0.9898	349	95.02
L1_strain	mt_50M	Desulfovibrio	10000	0.6684	18	96.38500000000002
L1_strain	mt_50M	Dialister	5000	0.7918	17	96.91999999999997
L1_strain	mt_50M	Dorea	9999	0.4454445444544454	7	98.21333333333334
L1_strain	mt_50M	Eggerthella	5000	0.5918	20	98.86
L1_strain	mt_50M	Enterobacter	10000	0.6315	6	98.865
L1_strain	mt_50M	Enterococcus	10000	0.5721	9	97.4575
L1_strain	mt_50M	Eubacterium	5000	0.6402	29	98.93
L1_strain	mt_50M	Faecalibacterium	10000	0.7238	13	97.218
L1_strain	mt_50M	Finegoldia	5000	0.3418	3	97.60000000000001
L1_strain	mt_50M	Franconibacter	5000	0.3612	1	98.98
L1_strain	mt_50M	Fusobacterium	10000	0.7866	26	97.47
L1_strain	mt_50M	Klebsiella	10000	0.6207	6	97.29
L1_strain	mt_50M	Lachnospira	5000	0.6792	6	95.58000000000003
L1_strain	mt_50M	Lactobacillus	5000	0.7462	25	98.44
L1_strain	mt_50M	Leuconostoc	10000	0.5872	3	97.65499999999997
L1_strain	mt_50M	Listeria	5000	0.5892	1	98.75
L1_strain	mt_50M	Massiliomicrobiota	9999	0.40464046404640464	1	98.30333333333334
L1_strain	mt_50M	Megasphaera	10000	0.7368	13	97.7375
L1_strain	mt_50M	Negativicoccus	5000	0.6274	1	97.59000000000002
L1_strain	mt_50M	Odoribacter	5000	0.502	7	98.44
L1_strain	mt_50M	Pantoea	5000	0.4466	4	98.89
L1_strain	mt_50M	Parabacteroides	10000	0.5154	16	97.816
L1_strain	mt_50M	Paraprevotella	10000	0.5386	4	98.30000000000003
L1_strain	mt_50M	Pediococcus	5000	0.6076	1	97.34000000000002
L1_strain	mt_50M	Peptoniphilus	10000	0.7173	9	96.60499999999998
L1_strain	mt_50M	Phascolarctobacterium	5000	0.758	16	98.88
L1_strain	mt_50M	Phyllobacterium	5000	0.2472	1	96.99
L1_strain	mt_50M	Porphyromonas	5000	0.6446	12	97.33000000000003
L1_strain	mt_50M	Proteus	5000	0.4626	1	98.97000000000003
L1_strain	mt_50M	Providencia	5000	0.6072	5	98.65999999999998
L1_strain	mt_50M	Ralstonia	5000	0.349	1	95.71000000000001
L1_strain	mt_50M	Roseburia	10000	0.5851	15	98.705
L1_strain	mt_50M	Ruminococcus	5000	0.7312	64	97.88
L1_strain	mt_50M	Sneathia	5000	0.6128	1	98.63
L1_strain	mt_50M	Sutterella	5000	0.6718	28	98.14
L1_strain	mt_50M	Veillonella	9999	0.8215821582158216	22	95.92
L1_strain	mt_50M	Weissella	5000	0.5366	1	97.49
L1_strain	mt_6mer	Achromobacter	5000	0.1488	1	98.47000000000003
L1_strain	mt_6mer	Acidaminococcus	5000	0.3394	7	97.40999999999998
L1_strain	mt_6mer	Adlercreutzia	5000	0.0	1	96.07
L1_strain	mt_6mer	Alistipes	9999	0.44154415441544154	38	98.41
L1_strain	mt_6mer	Anaeromassilibacillus	10000	0.0077	3	98.795
L1_strain	mt_6mer	Anaerosporobacter	5000	0.0	1	95.15999999999998
L1_strain	mt_6mer	Bacillus	5000	0.0094	11	97.39999999999999
L1_strain	mt_6mer	Bacteroides	9996	0.4610844337735094	79	97.11833333333334
L1_strain	mt_6mer	Barnesiella	10000	0.0898	3	98.75
L1_strain	mt_6mer	Bifidobacterium	5000	0.3636	14	95.04999999999998
L1_strain	mt_6mer	Blautia	10000	0.3629	46	98.34
L1_strain	mt_6mer	Butyricicoccus	5000	0.1582	7	97.99
L1_strain	mt_6mer	Butyricimonas	5000	0.263	6	98.73
L1_strain	mt_6mer	Catenibacterium	5000	0.0798	3	96.84000000000002
L1_strain	mt_6mer	Citrobacter	5000	0.0394	3	97.14999999999999
L1_strain	mt_6mer	Collinsella	5000	0.8348	349	95.02
L1_strain	mt_6mer	Desulfovibrio	10000	0.4007	18	96.38500000000002
L1_strain	mt_6mer	Dialister	5000	0.2122	17	96.91999999999997
L1_strain	mt_6mer	Dorea	9999	0.029102910291029103	7	98.21333333333334
L1_strain	mt_6mer	Eggerthella	5000	0.1178	20	98.86
L1_strain	mt_6mer	Enterobacter	10000	0.2565	6	98.865
L1_strain	mt_6mer	Enterococcus	10000	0.1536	9	97.4575
L1_strain	mt_6mer	Eubacterium	5000	0.1594	29	98.93
L1_strain	mt_6mer	Faecalibacterium	10000	0.4198	13	97.218
L1_strain	mt_6mer	Finegoldia	5000	0.0004	3	97.60000000000001
L1_strain	mt_6mer	Franconibacter	5000	0.0948	1	98.98
L1_strain	mt_6mer	Fusobacterium	10000	0.2443	26	97.47
L1_strain	mt_6mer	Klebsiella	10000	0.1455	6	97.29
L1_strain	mt_6mer	Lachnospira	5000	0.2454	6	95.58000000000003
L1_strain	mt_6mer	Lactobacillus	5000	0.4742	25	98.44
L1_strain	mt_6mer	Leuconostoc	10000	0.0747	3	97.65499999999997
L1_strain	mt_6mer	Listeria	5000	0.0084	1	98.75
L1_strain	mt_6mer	Massiliomicrobiota	9999	0.011801180118011801	1	98.30333333333334
L1_strain	mt_6mer	Megasphaera	10000	0.2896	13	97.7375
L1_strain	mt_6mer	Negativicoccus	5000	0.114	1	97.59000000000002
L1_strain	mt_6mer	Odoribacter	5000	0.1234	7	98.44
L1_strain	mt_6mer	Pantoea	5000	0.2114	4	98.89
L1_strain	mt_6mer	Parabacteroides	10000	0.1094	16	97.816
L1_strain	mt_6mer	Paraprevotella	10000	0.0205	4	98.30000000000003
L1_strain	mt_6mer	Pediococcus	5000	0.0584	1	97.34000000000002
L1_strain	mt_6mer	Peptoniphilus	10000	0.2359	9	96.60499999999998
L1_strain	mt_6mer	Phascolarctobacterium	5000	0.2648	16	98.88
L1_strain	mt_6mer	Phyllobacterium	5000	0.0356	1	96.99
