epoch,train_loss,train_acc,val_loss,val_acc
1,1.220647,0.656160,1.187571,0.664114
2,1.217797,0.656866,1.186159,0.664491
3,1.217060,0.657357,1.185167,0.664800
4,1.218568,0.657000,1.184319,0.664993
5,1.215468,0.657639,1.183622,0.665137
6,1.214406,0.657934,1.182789,0.665382
7,1.215547,0.658092,1.182030,0.665640
8,1.213598,0.657993,1.181384,0.665750
9,1.214730,0.658015,1.180827,0.665908
10,1.213578,0.658315,1.180414,0.666017
11,1.213558,0.658175,1.180225,0.666027
12,1.212498,0.658614,1.180067,0.666081
13,1.212501,0.658394,1.179980,0.666120
14,1.212846,0.658255,1.179924,0.666126
15,1.212236,0.658004,1.179922,0.666086
