genus_name,expected,"KmerFormer 6-mer, 1 layer","KmerFormer 6-mer, 8 layers","KmerFormer 6-mer, 16 layers","KmerFormer 6-mer, 29 layers","KmerFormer 13-mer exact, 16 l.","KmerFormer 13-mer hashed d128, 1 l.","KmerFormer 13-mer hashed d128, 16 l.","KmerFormer 13-mer hashed d64, 16 l.",MetaTransformer 13-mer,MetaTransformer 6-mer,NT-v2 500M + LoRA,Kraken 2 + Bracken
Akkermansia,0.018404659569011952,0.003508527985857838,0.00747312824783714,0.010999893718467567,0.008357148490872313,0.003443947772783671,0.0022177835122098996,0.0019242296382137997,0.0031313304529554547,0.003276561668165367,0.003379275285290637,0.009425724277422458,0.005760559253909148
Bacteroides,0.17177682264411157,0.4311136421204032,0.26351996903758146,0.26849555797069863,0.2688881237812,0.2708121060978315,0.2669570787488799,0.2555393884118406,0.23410110879212342,0.34046043654681535,0.2250603648544856,0.3221670550002352,0.1455213569522732
Bifidobacterium,0.07361863827604781,0.006721689549076881,0.009999463020882409,0.013919452312162085,0.010655777578471947,0.01542792052523028,0.014124283474798206,0.013490293053639135,0.014699779394098247,0.01274879544752983,0.01767285271711502,0.012592626055498091,0.022808413577286038
Clostridium,1.226977304600797e-06,0.18911156259908282,0.21824097799094835,0.16257792958677056,0.17599129855304912,0.14189927608279443,0.18040466678954736,0.17706720699925016,0.2204599774793301,0.11459599958841661,0.30318376307642325,0.17060193022663372,0.07278378355897756
Enterococcus,1.2269773046007969e-05,0.0025883309450131344,0.0026393030213687292,0.0038800105987666445,0.0020247016434229784,0.004884489601393602,0.0037744750044255296,0.005811239325179765,0.0033664823094700673,0.002721818840676965,0.003084876691674776,0.0013170585629996893,0.00018576486604135069
Faecalibacterium,0.17177682264411157,0.05307871891567311,0.08265324421506318,0.11345431143035842,0.09983710762845426,0.10357829563102408,0.10301492635371023,0.09936415328959586,0.08479269226104087,0.1116361781798172,0.07069666798620322,0.09988594496390431,0.20884684379947374
Fusobacterium,0.07361863827604781,0.011825284782828184,0.03732916718591534,0.03413351409356791,0.030583054564930014,0.06397495049260882,0.06007679434700168,0.06139105865538989,0.054837784720799,0.060563600817798297,0.022016283396497603,0.03903858450667821,0.006500846108133635
Lactobacillus,0.07361863827604781,0.03528145275997116,0.05112801075579304,0.05434561676838511,0.04672682680087222,0.05277878207709184,0.04952578395750031,0.052084895526036804,0.05497627336356847,0.0463518948493918,0.07306710237658522,0.04076361453402999,0.0038825781205955932
Prevotella,0.07361863827604781,0.10643641960985062,0.13617283838043046,0.13888498428061852,0.14889609601440293,0.10056933499864419,0.10079258043970604,0.10997632910767553,0.12089640259484961,0.07981138743865394,0.1232552283350235,0.11084156223264713,0.027379523166542356
Roseburia,0.17177682264411157,0.002293407350594187,0.004355103277295003,0.007123801332878168,0.008784097472830411,0.009849094898068185,0.009189589694081835,0.009124223996690306,0.008110880141797498,0.004267046039180949,0.004338699273413757,0.004737778204171089,0.007842789319536825
Veillonella,0.17177682264411157,0.15804096338164886,0.1864887948668849,0.1921849279073264,0.19925576747149384,0.23278180182252936,0.20992203767813897,0.21422698199648815,0.20062728848996725,0.22356628058355366,0.15424488600728742,0.18862812143578012,0.4984875412772305
