genus_name,expected,"KmerFormer 6-mer, 8 layers","KmerFormer 6-mer, 16 layers","KmerFormer 6-mer, 29 layers"
Akkermansia,0.018404659569011952,0.007996004010074482,0.011923574549011507,0.008985446702449489
Bacteroides,0.17177682264411157,0.2715306341621927,0.2772205508119547,0.2768876924773932
Bifidobacterium,0.07361863827604781,0.010294804860982911,0.01445667042084465,0.011040885824323088
Clostridium,1.226977304600797e-06,0.22844949655255326,0.1716450119445213,0.18558704871517454
Enterococcus,1.2269773046007969e-05,0.0025377352938365477,0.0038303332385046162,0.0020352555452029975
Faecalibacterium,0.17177682264411157,0.07967382178911092,0.10990810707591103,0.09662206722069802
Fusobacterium,0.07361863827604781,0.0398311261659372,0.03655208629673075,0.03259178246798204
Lactobacillus,0.07361863827604781,0.034416620179246106,0.036697739309361155,0.030099814827418685
Prevotella,0.07361863827604781,0.1369687921436343,0.14017470567374504,0.1498367711909953
Roseburia,0.17177682264411157,0.004780197918201925,0.007773194389777204,0.009582974449000092
Veillonella,0.17177682264411157,0.1835207669242296,0.1898180262896381,0.19673026057936252
