long_arm,six_arm,first_difference_pp,first_difference_ci95,far_difference_pp,far_difference_ci95,far_minus_first_difference_pp,far_minus_first_ci95,six_minus_long_retention_pp,six_minus_long_retention_ci95,both_rung_intervals_support_reversal,resampling_fraction_first_positive_far_negative
mt_250M,L29,32.25086579858735,"[23.167899671052634, 41.268508333333315]",-11.296536250663095,"[-15.980765534807574, -7.230900420055074]",-43.54740204925044,"[-52.092192187336785, -35.1166505901294]",34.59234915096432,"[21.822560873814073, 50.37142398374441]",True,1.0
mt_250M,nt_v9,36.246697333656144,"[26.393272323687615, 46.02348529411765]",-9.718151855362594,"[-14.589464035890318, -5.768517416611582]",-45.964849189018736,"[-54.703722894422, -37.477334396746905]",35.4764327297269,"[22.119953660458393, 53.22715143631414]",True,1.0
mt_250M,mt_6mer,52.04686365119633,"[42.556673048886516, 61.0940864521803]",-2.2393056847927224,"[-7.999345982989646, 2.7275195787410484]",-54.28616933598905,"[-61.76885373244523, -47.61995111859782]",36.8796272540268,"[21.153150539798332, 62.418191786319554]",False,0.7902
kf_exact13_1L_250M,L29,32.024547626817125,"[23.33222142061201, 40.81223245614034]",-11.57307963231905,"[-16.03505582904234, -7.351021409864044]",-43.597627259136175,"[-52.22763765445679, -34.80351663356927]",34.90619285619962,"[21.658767846797776, 51.27460244009073]",True,1.0
kf_exact13_1L_250M,nt_v9,36.02037916188592,"[26.497796377573817, 45.37495952380951]",-9.99469523701855,"[-14.49819473925729, -5.840300621474277]",-46.01507439890447,"[-54.730845106971515, -37.25058515200068]",35.79027643496221,"[21.893064373811004, 54.183252304972825]",True,1.0
kf_exact13_1L_250M,mt_6mer,51.820545479426094,"[42.68926802365705, 60.4542113577272]",-2.515849066448678,"[-7.077145802090957, 1.2779158550695184]",-54.336394545874775,"[-61.511701228355605, -47.85644897940149]",37.19347095926211,"[21.581836897229845, 62.40221190032276]",False,0.8864
kf_exact13_1L_50M,L29,19.07283234560364,"[12.752481210158374, 25.673550314253138]",-12.29052708472837,"[-16.577018824747373, -7.94010895835374]",-31.36335943033201,"[-38.437079624604785, -24.537470898860153]",33.2469344184659,"[20.851368712766853, 48.74534119377724]",True,1.0
kf_exact13_1L_50M,nt_v9,23.068663880672435,"[16.136197485465505, 30.24202826112527]",-10.71214268942787,"[-15.058078307640551, -6.585692922250031]",-33.78080657010031,"[-40.800949154703694, -27.012350580090278]",34.13101799722849,"[21.131792162025445, 51.553687928503635]",True,1.0
kf_exact13_1L_50M,mt_6mer,38.86883019821262,"[31.89608898416035, 45.861361468864686]",-3.2332965188579976,"[-7.337736377926751, -0.020587180091799377]",-42.10212671707062,"[-48.111086903833545, -36.514415889382526]",35.53421252152839,"[20.791470824781296, 59.62186581760368]",True,0.9754
mt_50M,L29,16.790703060032207,"[10.491630484882299, 23.194105806058047]",-11.269577619118017,"[-15.482901525840301, -7.3136863445752125]",-28.060280679150225,"[-34.95977972642782, -21.519189783416284]",31.052410965499195,"[19.493848819238064, 45.23775307263497]",True,1.0
mt_50M,nt_v9,20.786534595101003,"[13.982381561556373, 27.79071241830065]",-9.691193223817516,"[-13.925822975216814, -5.907831090357871]",-30.47772781891852,"[-37.2012446714986, -24.023522012568797]",31.936494544261784,"[19.959806781054816, 48.032114430926825]",True,1.0
mt_50M,mt_6mer,36.586700912641184,"[29.77235951297973, 43.17767105263156]",-2.2123470532476444,"[-6.912947212508913, 1.7960659206271463]",-38.799047965888825,"[-44.71474249986608, -33.2472474980917]",33.33968906856168,"[19.23132197075054, 56.95330530208609]",False,0.8456
kf_exact13_16L,L29,10.020105474794471,"[4.125660707314605, 16.136343749999998]",-13.894130845022653,"[-19.188773404508776, -8.987497446880846]",-23.914236319817125,"[-30.741246334037438, -17.168916648313857]",33.60254628616761,"[21.36284546669631, 48.34834553847208]",True,1.0
kf_exact13_16L,nt_v9,14.015937009863267,"[7.528913129551018, 20.73601238390092]",-12.315746449722154,"[-17.63864370029283, -7.493713104361552]",-26.33168345958542,"[-33.0217189204232, -19.743429312312173]",34.48662986493021,"[21.625461425470316, 51.14197585239756]",True,1.0
kf_exact13_16L,mt_6mer,29.816103327403447,"[23.3519043907314, 36.125202880444924]",-4.836900279152282,"[-9.93431464669992, -0.7807052529182887]",-34.653003606555735,"[-40.16078131231183, -29.440547783995164]",35.88982438923011,"[20.909599352480328, 59.6214666057008]",True,0.9946
kf_hash13_d128_1L,L29,4.163201717912823,"[-1.5992175403137643, 10.260627571275705]",-15.800366985242324,"[-22.060678480607393, -9.998132995841479]",-19.963568703155147,"[-27.101890489551455, -13.165272213271374]",35.637511506147014,"[22.305768659344796, 51.44468030948401]",False,0.9108
kf_hash13_d128_1L,nt_v9,8.159033252981619,"[1.7466599331986663, 14.822369117647064]",-14.221982589941822,"[-20.50631280834178, -8.572850433185545]",-22.38101584292344,"[-29.47868131541474, -15.733181549414903]",36.521595084909606,"[22.558554675009745, 54.2616191207107]",True,0.9944
kf_hash13_d128_1L,mt_6mer,23.9591995705218,"[17.742379847596947, 30.124627450980395]",-6.74313641937195,"[-12.129582665102511, -2.5009230833514575]",-30.702335989893747,"[-36.609909866981276, -25.26591868504208]",37.92478960920951,"[22.171475837173492, 62.57601511328645]",True,0.9998
kf_hash13_d128_16L,L29,-1.456857440604642,"[-7.111805402243861, 4.165312499999992]",-15.817759650755276,"[-22.047958519303094, -9.915864315166711]",-14.360902210150634,"[-21.714540649473808, -7.197838152283783]",34.01545119394354,"[21.23809545123937, 48.95022869799361]",False,0.294
kf_hash13_d128_16L,nt_v9,2.5389740944641526,"[-3.5967691059801297, 8.69217222222222]",-14.239375255454775,"[-20.51273638784085, -8.56280368320416]",-16.778349349918926,"[-23.739879935866284, -9.898881685784385]",34.89953477270613,"[21.54541368048097, 51.85690743751401]",False,0.781
kf_hash13_d128_16L,mt_6mer,18.339140412004333,"[12.433018041827196, 24.08670602900949]",-6.760529084884903,"[-12.165419493461652, -2.608079968945208]",-25.099669496889238,"[-31.04816206522015, -19.4888493421177]",36.30272929700603,"[21.096436247186055, 60.01321070035991]",True,1.0
kf_hash13_d64_16L,L29,-6.7263865935430935,"[-12.545859444066192, -0.9704645551617274]",-15.976902540198799,"[-22.23119385818212, -10.143437775161196]",-9.250515946655705,"[-16.794790057930708, -1.7021279459409018]",32.43635536038321,"[20.287106601498166, 46.58000362165039]",False,0.011
