genus_name,expected_dna_fraction,"KmerFormer 6-mer, 8 layers","KmerFormer 6-mer, 16 layers","KmerFormer 6-mer, 29 layers","KmerFormer 13-mer exact, 16 l.","KmerFormer 13-mer hashed d128, 1 l.","KmerFormer 13-mer hashed d128, 16 l.","KmerFormer 13-mer hashed d64, 16 l.",MetaTransformer 13-mer,MetaTransformer 6-mer,NT-v2 500M + LoRA,Kraken 2 + Bracken
Achromobacter,0.0,8.4e-05,8.166666666666667e-05,6.4e-05,0.0004333333333333333,0.000132,0.00022833333333333334,0.000302,0.000352,2.7666666666666667e-05,6.3e-05,3e-05
Acidaminococcus,0.0,0.0031023333333333332,0.0030366666666666667,0.002990333333333333,0.003504,0.000822,0.0016076666666666667,0.001624,0.001682,0.004394333333333333,0.0028683333333333334,0.00062
Acinetobacter,0.0,0.0009233333333333333,0.0009743333333333333,0.001035,0.0023653333333333334,0.0003626666666666667,0.000716,0.001194,0.0005266666666666667,0.0012753333333333334,0.000968,1e-05
Actinomyces,0.0,0.002549,0.002435,0.002409333333333333,0.0017346666666666667,0.001995666666666667,0.002222,0.0024716666666666667,0.0013253333333333333,0.003781,0.0025583333333333335,0.00030000000000000003
Adlercreutzia,0.0,3.233333333333333e-05,5.7333333333333336e-05,6.866666666666666e-05,0.0005126666666666667,5.5e-05,0.000221,8.5e-05,4.6e-05,0.0,4.4666666666666664e-05,1e-05
Aeromonas,0.0,0.0002866666666666667,0.00031466666666666665,0.0003206666666666667,0.0009643333333333333,0.00025133333333333333,0.000449,0.00020466666666666666,0.0006613333333333333,0.00037233333333333335,0.00027,2e-05
Akkermansia,0.0,0.0006603333333333333,0.00073,0.000782,0.001337,0.00032933333333333333,0.0005483333333333333,0.0010413333333333333,0.000214,0.0007633333333333333,0.0006243333333333333,3.0000000000000004e-05
Alistipes,0.0,0.005243333333333333,0.005238666666666667,0.004906,0.008757666666666667,0.008875666666666667,0.009274666666666667,0.008388,0.005814666666666667,0.005796,0.005495,0.00055
Anaerococcus,0.0,0.0011463333333333334,0.001242,0.00116,0.0015613333333333334,0.0002933333333333333,0.000723,0.000545,6.8e-05,0.0012186666666666667,0.000897,5e-05
Anaerofustis,0.0,0.00013933333333333332,0.00019666666666666666,0.00020666666666666666,0.00013066666666666665,1.8333333333333333e-05,4.566666666666667e-05,4.933333333333333e-05,7.333333333333333e-06,3.933333333333333e-05,0.000121,1e-05
Anaeromassilibacillus,0.0,0.0005313333333333333,0.000661,0.000806,0.001931,0.00014233333333333334,0.000319,0.00027233333333333336,0.00019266666666666667,4.433333333333333e-05,0.0004973333333333334,0.00059
Anaerosporobacter,0.0,8.9e-05,0.00016333333333333334,0.00022633333333333332,0.0017773333333333332,0.000158,0.00045733333333333335,0.00017733333333333333,0.00029133333333333333,3.3333333333333335e-07,0.00013066666666666665,8e-05
Anaerostipes,0.055119150424019,0.000196,0.000478,0.0007903333333333333,0.0017323333333333333,0.0010516666666666667,0.000612,0.00021733333333333332,0.002837333333333333,6.666666666666667e-07,0.00025666666666666665,0.01255
Anaerotignum,0.0,0.00031133333333333333,0.0003936666666666667,0.00041966666666666666,0.0003316666666666667,2e-05,5.566666666666667e-05,5e-05,2.6666666666666667e-05,0.00013333333333333334,0.00029266666666666666,3e-05
Anaerotruncus,0.0,0.00024366666666666666,0.0002953333333333333,0.000269,0.00036566666666666665,0.00013266666666666667,0.000213,0.00016133333333333334,0.000162,0.00048166666666666665,0.000203,0.00037
Atopobium,0.0,0.00033133333333333333,0.0003243333333333333,0.00032733333333333334,9.933333333333334e-05,5e-06,7e-06,2.8e-05,2e-06,0.0006886666666666666,0.00033266666666666666,2e-05
Azospirillum,0.0,0.0008856666666666667,0.0009436666666666667,0.000952,0.0010913333333333333,0.000181,0.000153,0.000588,0.000126,0.0027053333333333335,0.000766,3.0000000000000004e-05
Bacillus,0.0,0.0048723333333333336,0.005383,0.005341,0.011274,0.006164,0.006406,0.0021866666666666666,0.009315333333333333,0.000992,0.0047866666666666665,2e-05
