seq_id	genus_class	genus_name
lbl|1985|UMGS505|102|Ruminococcus-3878/1	102	Ruminococcus
lbl|1098|UMGS152|33|Clostridium-80/2	33	Clostridium
lbl|2386|UMGS89|100|Roseburia-5736/2	100	Roseburia
lbl|765|UMGS12|115|Sutterella-6723/2	115	Sutterella
lbl|1332|UMGS1740|33|Clostridium-1746/1	33	Clostridium
lbl|2308|UMGS816|19|Barnesiella-35/1	19	Barnesiella
lbl|550|GCF_900095875|70|Megasphaera-16216/2	70	Megasphaera
lbl|473|GCF_000969835|82|Parabacteroides-36234/1	82	Parabacteroides
lbl|1594|UMGS2|42|Dysgonomonas-41044/2	42	Dysgonomonas
lbl|216|21673_4_91|17|Bacillus-2564/2	17	Bacillus
lbl|993|UMGS1419|22|Blautia-27/2	22	Blautia
lbl|2384|UMGS888|34|Collinsella-984/1	34	Collinsella
lbl|2403|UMGS904|61|Lachnobacterium-4584/2	61	Lachnobacterium
lbl|1804|UMGS33|44|Eggerthella-12617/2	44	Eggerthella
lbl|2167|UMGS683|78|Oscillibacter-634/2	78	Oscillibacter
lbl|333|GCF_000189615|33|Clostridium-6101/1	33	Clostridium
