species_class,species_name,genus_class,genus_name,reference_type
76,20287_6_4,0,Achromobacter,MAG
288,GCF_000411395,1,Acidaminococcus,RefSeq assembly
350,GCF_900095825,1,Acidaminococcus,RefSeq assembly
779,UMGS1727,1,Acidaminococcus,MAG
1028,UMGS254,1,Acidaminococcus,MAG
1060,UMGS3,1,Acidaminococcus,MAG
1194,UMGS457,1,Acidaminococcus,MAG
1337,UMGS667,1,Acidaminococcus,MAG
65,17138_5_74,2,Acinetobacter,MAG
196,GCF_000162075,2,Acinetobacter,RefSeq assembly
197,GCF_000162115,2,Acinetobacter,RefSeq assembly
1106,UMGS347,2,Acinetobacter,MAG
99,20298_3_21,3,Actinomyces,MAG
265,GCF_000308055,3,Actinomyces,RefSeq assembly
289,GCF_000411415,3,Actinomyces,RefSeq assembly
315,GCF_000820725,3,Actinomyces,RefSeq assembly
336,GCF_001457875,3,Actinomyces,RefSeq assembly
670,UMGS1548,3,Actinomyces,MAG
774,UMGS1719,3,Actinomyces,MAG
782,UMGS1731,3,Actinomyces,MAG
909,UMGS1934,3,Actinomyces,MAG
959,UMGS2009,3,Actinomyces,MAG
1001,UMGS2071,3,Actinomyces,MAG
1021,UMGS242,3,Actinomyces,MAG
1026,UMGS252,3,Actinomyces,MAG
1153,UMGS402,3,Actinomyces,MAG
1214,UMGS492,3,Actinomyces,MAG
1238,UMGS520,3,Actinomyces,MAG
1433,UMGS822,3,Actinomyces,MAG
1506,UMGS956,3,Actinomyces,MAG
1207,UMGS479,4,Adlercreutzia,MAG
987,UMGS205,5,Aeromonas,MAG
425,UMGS1128,6,Akkermansia,MAG
578,UMGS141,6,Akkermansia,MAG
832,UMGS181,6,Akkermansia,MAG
1385,UMGS750,6,Akkermansia,MAG
2,11861_6_61,7,Alistipes,MAG
3,11861_6_63,7,Alistipes,MAG
48,14207_6_12,7,Alistipes,MAG
57,14207_7_70,7,Alistipes,MAG
112,20298_3_63,7,Alistipes,MAG
147,GCF_000154465,7,Alistipes,RefSeq assembly
239,GCF_000231275,7,Alistipes,RefSeq assembly
268,GCF_000311925,7,Alistipes,RefSeq assembly
270,GCF_000312145,7,Alistipes,RefSeq assembly
277,GCF_000321205,7,Alistipes,RefSeq assembly
344,GCF_900083545,7,Alistipes,RefSeq assembly
355,GCF_900107675,7,Alistipes,RefSeq assembly
390,UMGS1065,7,Alistipes,MAG
448,UMGS1168,7,Alistipes,MAG
464,UMGS120,7,Alistipes,MAG
473,UMGS1210,7,Alistipes,MAG
509,UMGS1280,7,Alistipes,MAG
517,UMGS1292,7,Alistipes,MAG
542,UMGS1342,7,Alistipes,MAG
677,UMGS1559,7,Alistipes,MAG
695,UMGS1587,7,Alistipes,MAG
710,UMGS162,7,Alistipes,MAG
849,UMGS1837,7,Alistipes,MAG
995,UMGS206,7,Alistipes,MAG
1119,UMGS368,7,Alistipes,MAG
1123,UMGS372,7,Alistipes,MAG
1197,UMGS465,7,Alistipes,MAG
1208,UMGS480,7,Alistipes,MAG
1219,UMGS50,7,Alistipes,MAG
1259,UMGS559,7,Alistipes,MAG
1273,UMGS579,7,Alistipes,MAG
1322,UMGS648,7,Alistipes,MAG
1328,UMGS654,7,Alistipes,MAG
1330,UMGS657,7,Alistipes,MAG
1392,UMGS763,7,Alistipes,MAG
1440,UMGS840,7,Alistipes,MAG
1441,UMGS842,7,Alistipes,MAG
1454,UMGS857,7,Alistipes,MAG
211,GCF_000173355,8,Anaerococcus,RefSeq assembly
274,GCF_000321005,8,Anaerococcus,RefSeq assembly
326,GCF_001182725,8,Anaerococcus,RefSeq assembly
338,GCF_001487145,8,Anaerococcus,RefSeq assembly
512,UMGS1286,8,Anaerococcus,MAG
555,UMGS1364,8,Anaerococcus,MAG
926,UMGS1965,8,Anaerococcus,MAG
1103,UMGS343,8,Anaerococcus,MAG
1284,UMGS594,8,Anaerococcus,MAG
480,UMGS1233,9,Anaerofustis,MAG
1011,UMGS220,10,Anaeromassilibacillus,MAG
1157,UMGS41,10,Anaeromassilibacillus,MAG
1497,UMGS939,10,Anaeromassilibacillus,MAG
1494,UMGS935,11,Anaerosporobacter,MAG
499,UMGS1268,12,Anaerostipes,MAG
673,UMGS1552,13,Anaerotignum,MAG
385,UMGS1055,14,Anaerotruncus,MAG
795,UMGS175,14,Anaerotruncus,MAG
