genus_name,assembly_accession,assembly,reads_simulated,excluded_for_training_overlap
Achromobacter,GCF_000165835.1,GCF_000165835.1_ASM16583v1,5000,False
Acidaminococcus,GCF_000025305.1,GCF_000025305.1_ASM2530v1,5000,False
Acinetobacter,GCF_000018445.1,GCF_000018445.1_ASM1844v1,5000,False
Actinomyces,GCF_001278845.1,GCF_001278845.1_ASM127884v1,5000,False
Adlercreutzia,GCF_000478885.1,GCF_000478885.1_ASM47888v1,5000,False
Aeromonas,GCF_010906985.2,GCF_010906985.2_ASM1090698v2,5000,False
Akkermansia,GCF_000020225.1,GCF_000020225.1_ASM2022v1,5000,False
Alistipes,GCF_000265365.1,GCF_000265365.1_ASM26536v1,5000,False
Anaerococcus,GCF_000024105.1,GCF_000024105.1_ASM2410v1,5000,False
Anaerofustis,GCF_046603965.1,GCF_046603965.1_ASM4660396v1,5000,False
Anaeromassilibacillus,GCF_001261775.1,GCF_001261775.1_Anaeromassilibacillus_senegalense,5000,False
Anaerosporobacter,GCF_032012565.1,GCF_032012565.1_ASM3201256v1,5000,False
Anaerostipes,GCF_001998765.1,GCF_001998765.1_ASM199876v1,5000,False
Anaerotignum,GCF_001561955.1,GCF_001561955.1_ASM156195v1,5000,False
Anaerotruncus,GCF_023008305.1,GCF_023008305.1_ASM2300830v1,5000,False
Atopobium,GCF_018128285.1,GCF_018128285.1_ASM1812828v1,5000,False
Azospirillum,GCF_000010725.1,GCF_000010725.1_ASM1072v1,5000,False
Bacteroides,GCF_000009925.1,GCF_000009925.1_ASM992v1,5000,False
Barnesiella,GCF_000512915.1,GCF_000512915.1_ASM51291v1,5000,False
Bifidobacterium,GCF_000210755.1,GCF_000210755.1_ASM21075v1,5000,False
Blastococcus,GCF_000284015.1,GCF_000284015.1_ASM28401v1,5000,False
Blautia,GCF_001689125.2,GCF_001689125.2_ASM168912v2,5000,False
Brachyspira,GCF_000022105.1,GCF_000022105.1_ASM2210v1,5000,False
Brevibacterium,GCF_001606005.1,GCF_001606005.1_ASM160600v1,5000,False
Butyricicoccus,GCF_051246315.1,GCF_051246315.1_ASM5124631v1,5000,False
Butyricimonas,GCF_003991565.1,GCF_003991565.1_ASM399156v1,5000,False
Butyrivibrio,GCF_000145035.1,GCF_000145035.1_ASM14503v1,5000,False
Campylobacter,GCF_000009085.1,GCF_000009085.1_ASM908v1,5000,False
Catenibacterium,GCF_025148785.1,GCF_025148785.1_ASM2514878v1,5000,False
Cellulomonas,GCF_000312005.1,GCF_000312005.1_ASM31200v1,5000,True
Citrobacter,GCF_002215605.1,GCF_002215605.1_ASM221560v1,5000,False
Cloacibacillus,GCF_001701045.1,GCF_001701045.1_ASM170104v1,5000,False
Clostridium,GCF_000007625.1,GCF_000007625.1_ASM762v1,5000,False
Collinsella,GCF_002736145.1,GCF_002736145.1_ASM273614v1,5000,False
Coprobacillus,GCF_055397375.1,GCF_055397375.1_ASM5539737v1,5000,False
Coprococcus,GCF_020735705.1,GCF_020735705.1_ASM2073570v1,5000,False
Corynebacterium,GCF_000143825.1,GCF_000143825.1_ASM14382v1,5000,False
Cryptobacterium,GCF_000023845.1,GCF_000023845.1_ASM2384v1,5000,False
Desulfovibrio,GCF_001553605.1,GCF_001553605.1_ASM155360v1,5000,False
Dialister,GCF_001717505.1,GCF_001717505.1_ASM171750v1,5000,False
Dorea,GCF_023008345.1,GCF_023008345.1_ASM2300834v1,5000,False
Dysgonomonas,GCF_011299335.1,GCF_011299335.1_ASM1129933v1,5000,False
Edwardsiella,GCF_000020865.1,GCF_000020865.1_ASM2086v1,5000,False
Eggerthella,GCF_000024265.1,GCF_000024265.1_ASM2426v1,5000,False
Enterobacter,GCF_000016325.1,GCF_000016325.1_ASM1632v1,5000,False
Enterococcus,GCF_000007785.1,GCF_000007785.1_ASM778v1,5000,False
Eubacterium,GCF_000152245.2,GCF_000152245.2_ASM15224v2,5000,False
Exiguobacterium,GCF_000019905.1,GCF_000019905.1_ASM1990v1,5000,False
Faecalibacterium,GCF_002586945.1,GCF_002586945.1_ASM258694v1,5000,False
Finegoldia,GCF_000010185.1,GCF_000010185.1_ASM1018v1,5000,True
Flavobacterium,GCF_000016645.1,GCF_000016645.1_ASM1664v1,5000,False
Franconibacter,GCF_036830455.1,GCF_036830455.1_ASM3683045v1,5000,False
Fusobacterium,GCF_000158275.2,GCF_000158275.2_ASM15827v2,5000,True
Garciella,GCF_003315355.1,GCF_003315355.1_ASM331535v1,5000,False
Gemella,GCF_001553915.1,GCF_001553915.1_ASM155391v1,5000,False
Gemmiger,GCF_018784445.1,GCF_018784445.1_ASM1878444v1,5000,False
Granulicatella,GCF_019931005.1,GCF_019931005.1_ASM1993100v1,5000,False
Halomonas,GCF_000196875.2,GCF_000196875.2_ASM19687v2,5000,False
Helicobacter,GCF_000007905.1,GCF_000007905.1_ASM790v1,5000,False
Klebsiella,GCF_001316945.3,GCF_001316945.3_ASM131694v3,5000,False
Lachnobacterium,GCF_000622065.1,GCF_000622065.1_ASM62206v1,5000,False
Lachnoclostridium,GCF_000018685.1,GCF_000018685.1_ASM1868v1,5000,False
Lachnospira,GCF_000146185.1,GCF_000146185.1_ASM14618v1,5000,False
Lactobacillus,GCF_000008065.1,GCF_000008065.1_ASM806v1,5000,False
Leuconostoc,GCF_000014445.1,GCF_000014445.1_ASM1444v1,5000,False
Listeria,GCF_000008285.1,GCF_000008285.1_ASM828v1,5000,False
Marvinbryantia,GCF_025148285.1,GCF_025148285.1_ASM2514828v1,5000,False
Massiliomicrobiota,GCF_042850985.1,GCF_042850985.1_ASM4285098v1,5000,False
Megamonas,GCF_010669225.1,GCF_010669225.1_ASM1066922v1,5000,False
Megasphaera,GCF_001304715.1,GCF_001304715.1_ASM130471v1,5000,False
Morganella,GCF_000286435.2,GCF_000286435.2_ASM28643v2,5000,False
Negativicoccus,GCF_000508525.1,GCF_000508525.1_NS_DORA_17_25_velvet_1.1,5000,False
Neisseria,GCF_000006845.1,GCF_000006845.1_ASM684v1,5000,False
Nesterenkonia,GCF_007922635.1,GCF_007922635.1_ASM792263v1,5000,False
Odoribacter,GCF_000190535.1,GCF_000190535.1_ASM19053v1,5000,False
Olsenella,GCF_000143845.1,GCF_000143845.1_ASM14384v1,5000,False
Oribacterium,GCF_000160135.1,GCF_000160135.1_ASM16013v1,5000,False
Oscillibacter,GCF_003574015.1,GCF_003574015.1_ASM357401v1,5000,False
Oxalobacter,GCF_002127965.1,GCF_002127965.1_ASM212796v1,5000,False
Paenibacillus,GCF_000785455.1,GCF_000785455.1_ASM78545v1,5000,False
Pantoea,GCF_000025405.2,GCF_000025405.2_ASM2540v1,5000,False
Parabacteroides,GCF_000012845.1,GCF_000012845.1_ASM1284v1,5000,False
Paraprevotella,GCF_027923645.1,GCF_027923645.1_ASM2792364v1,5000,False
Pediococcus,GCF_000014505.1,GCF_000014505.1_ASM1450v1,5000,False
Pelosinus,GCF_000271665.2,GCF_000271665.2_ASM27166v2,5000,False
Peptoniphilus,GCF_016726485.1,GCF_016726485.1_ASM1672648v1,5000,False
Peptostreptococcus,GCF_027125355.1,GCF_027125355.1_ASM2712535v1,5000,False
Phascolarctobacterium,GCF_003945365.1,GCF_003945365.1_PFJ30894_01,5000,False
Phyllobacterium,GCF_002764115.1,GCF_002764115.1_ASM276411v1,5000,False
Porphyromonas,GCF_000007585.1,GCF_000007585.1_ASM758v1,5000,False
Prevotella,GCF_000144405.1,GCF_000144405.1_ASM14440v1,5000,False
Propionibacterium,GCF_000091725.1,GCF_000091725.1_ASM9172v1,5000,False
Propionimicrobium,GCF_030286045.1,GCF_030286045.1_ASM3028604v1,5000,False
Proteus,GCF_000069965.1,GCF_000069965.1_ASM6996v1,5000,False
Providencia,GCF_000259175.1,GCF_000259175.1_ASM25917v1,5000,False
Pseudobutyrivibrio,GCF_008935055.1,GCF_008935055.1_ASM893505v1,5000,False
Pseudomonas,GCF_000148745.1,GCF_000148745.1_ASM14874v1,5000,False
Ralstonia,GCF_000348545.1,GCF_000348545.1_ASM34854v1,5000,False
Robinsoniella,GCF_005519995.1,GCF_005519995.1_ASM551999v1,5000,False
Roseburia,GCF_000225345.1,GCF_000225345.1_ASM22534v1,5000,False
Rothia,GCF_000011025.1,GCF_000011025.1_ASM1102v1,5000,False
Ruminococcus,GCF_000723465.1,GCF_000723465.1_Rb803,5000,False
Sanguibacteroides,GCF_027666085.1,GCF_027666085.1_ASM2766608v1,5000,False
Selenomonas,GCF_000208405.1,GCF_000208405.1_ASM20840v1,5000,False
Slackia,GCF_000023885.1,GCF_000023885.1_ASM2388v1,5000,False
Sneathia,GCF_000973085.1,GCF_000973085.1_ASM97308v1,5000,False
Solobacterium,GCF_036323475.1,GCF_036323475.1_ASM3632347v1,5000,False
Sporolactobacillus,GCF_004014985.1,GCF_004014985.1_ASM401498v1,5000,False
Staphylococcus,GCF_000007645.1,GCF_000007645.1_ASM764v1,5000,False
Streptococcus,GCF_000348705.1,GCF_000348705.1_ASM34870v1,5000,False
Streptomyces,GCF_000148465.1,GCF_000148465.1_Scla_1.0,5000,False
Subdoligranulum,GCF_025152575.1,GCF_025152575.1_ASM2515257v1,5000,False
Succinatimonas,GCF_963931075.1,GCF_963931075.1_metabat2_pooled_hifiasm.1075_MAG,5000,False
Succiniclasticum,GCF_056977735.1,GCF_056977735.1_ASM5697773v1,5000,False
Sutterella,GCF_003609995.1,GCF_003609995.1_ASM360999v1,5000,False
Treponema,GCF_000008185.1,GCF_000008185.1_ASM818v1,5000,False
Veillonella,GCF_000024945.1,GCF_000024945.1_ASM2494v1,5000,False
Weissella,GCF_000219805.1,GCF_000219805.1_ASM21980v1,5000,False
Xylanibacter,GCF_000025925.1,GCF_000025925.1_ASM2592v1,5000,False
