genus,genus_class,accession,organism_name,named_species,assembly_level,total_length,max_ani_same_genus,align_frac_query_same_genus,closest_training_ref_same_genus,level,cross_genus_leak,keep,max_ani_any_genus,closest_training_ref_any_genus,closest_training_genus_any,audit_ani_same_genus_minaf0,audit_align_frac_minaf0
Achromobacter,0,GCF_002812705.1,Achromobacter spanius,True,Complete Genome,6425783,84.56,24.57,20287_6_4,L2_species,0,1,84.56,20287_6_4,Achromobacter,84.56,24.57
Achromobacter,0,GCF_013267355.1,Achromobacter pestifer,True,Complete Genome,7177303,86.12,28.26,20287_6_4,L2_species,0,1,86.12,20287_6_4,Achromobacter,86.12,28.26
Achromobacter,0,GCF_013267395.1,Achromobacter denitrificans,True,Complete Genome,6736870,86.0,29.04,20287_6_4,L2_species,0,1,86.0,20287_6_4,Achromobacter,86.0,29.04
Achromobacter,0,GCF_016728825.1,Achromobacter xylosoxidans,True,Complete Genome,6901970,98.47,87.51,20287_6_4,L1_strain,0,1,98.47,20287_6_4,Achromobacter,98.47,87.51
Achromobacter,0,GCF_029866465.1,Achromobacter mucicolens,True,Complete Genome,5682553,85.67,29.53,20287_6_4,L2_species,0,1,85.67,20287_6_4,Achromobacter,85.67,29.53
Achromobacter,0,GCF_030864005.1,Achromobacter seleniivolatilans,True,Complete Genome,6862680,83.06,15.73,20287_6_4,L2_species,0,1,83.06,20287_6_4,Achromobacter,83.06,15.73
Achromobacter,0,GCF_037619525.1,Achromobacter veterisilvae,True,Complete Genome,6549044,86.1,30.21,20287_6_4,L2_species,0,1,86.1,20287_6_4,Achromobacter,86.1,30.21
Achromobacter,0,GCF_900637265.1,Achromobacter insolitus,True,Complete Genome,6472476,84.67,25.07,20287_6_4,L2_species,0,1,84.67,20287_6_4,Achromobacter,84.67,25.07
Acidaminococcus,1,GCF_000025305.1,Acidaminococcus fermentans DSM 20731,True,Complete Genome,2329769,89.68,54.22,UMGS457,L2_species,0,1,89.68,UMGS457,Acidaminococcus,89.68,54.22
Acidaminococcus,1,GCF_025144545.1,Acidaminococcus intestini,True,Complete Genome,2305309,99.93,92.49,GCF_000411395,L0_dup,0,0,99.93,GCF_000411395,Acidaminococcus,99.93,92.49
Acidaminococcus,1,GCF_047834495.1,Acidaminococcus timonensis,True,Chromosome,2286639,97.41,67.74,UMGS254,L1_strain,0,1,97.41,UMGS254,Acidaminococcus,97.41,67.74
